programming language,tiobe index ratings,job amount,average salary,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024,location_count,tiobe index ratings_T,job amount_T,average salary_T,linkedin skill_T,wiki view Oct 2024_T,github user count_T,search count Oct 2024_T,stack_overflow_count_2024_T,location_count_T,kmeans_2,agg_cluster,dbscan_cluster,gmm_cluster2,som_cluster,optics_cluster,birch_cluster
Groovy,0.05,10,10062850.58605517,435,44,-1.0,1,16,1,-0.2099010872755477,-0.3255520403480011,0.2008754729107963,-0.272371502826805,-0.29391470507639,-0.1639933707725252,-0.3577191201809385,-0.1640458367957222,-0.7245320409127298,1,1,0,1,32,-1,0
Scala,0.64,36,6069870.496656338,584,16,69.0,2,18,3,0.061545396456921,-0.151858116381842,-0.2437911661972225,-0.2661220037958888,-0.176325785216637,-0.1856686470324818,-0.2976415328184968,-0.1400123320328496,-0.0624270426896085,1,1,0,1,14,30,0
Revolution,0.0,61,3054643.915108728,0,-1,-1.0,0,0,13,-0.2329050265749095,0.0151552720471571,-0.5795731235692657,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,3.2480979484259977,1,1,0,0,23,39,0
MATLAB,1.48,17,5764911.548656295,34000,109,463.0,48,29,5,0.4480115766861986,-0.2787882915878814,-0.277752034380142,1.135443496989988,0.4855318494225443,-0.1136757651690543,2.465927485853821,-0.0078280558370499,0.5996779555335127,1,1,0,1,1,-1,0
Apex,0.05,11,7816074.484489086,0,-1,-1.0,0,9,3,-0.2099010872755477,-0.3188715048108411,-0.0493302269783866,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.2481631034657766,-0.0624270426896085,1,1,0,1,20,-1,0
Click,0.0,54,8351127.926814728,0,0,-1.0,0,0,6,-0.2329050265749095,-0.0316084767129625,0.0102544467778853,-0.290616684561359,-0.29391470507639,-0.1980545191810285,-0.4177967075433803,-0.3563138748987036,0.9307304546450732,1,1,0,0,22,29,0
Adept,0.0,21,7698934.300564067,0,-1,-1.0,0,0,4,-0.2329050265749095,-0.2520661494392415,-0.0623752035934029,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,2,0
.QL,0.0,26,4766819.031018988,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.2186634717534416,-0.388901710912454,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,20,5,0
dss,0.0,2,8298783.857954545,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3789963246452808,0.0044253014638147,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,31,13,0
SPARK,0.05,82,3916176.649491272,0,-1,-1.0,0,0,4,-0.2099010872755477,0.1554465183275164,-0.4836310309711771,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,-1,0
Pure,0.0,3,10880799.885335917,0,5,-1.0,0,0,2,-0.2329050265749095,-0.3723157891081208,0.2919640227479401,-0.290616684561359,-0.29391470507639,-0.1941839341346077,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,27,9,0
GAP,0.0,23,27730938.96393032,0,-1,-1.0,0,0,5,-0.2329050265749095,-0.2387050783649215,2.1684308582510776,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.5996779555335127,1,1,0,0,29,38,0
Falcon,0.0,2,11286666.666666668,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3789963246452808,0.3371621989319606,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,11,0
Alpha,0.0,3,8374726.930320151,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3723157891081208,0.0128824813135232,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,31,13,0
Plot,0.0,46,9235123.102766791,0,-1,-1.0,0,0,7,-0.2329050265749095,-0.0850527610102423,0.1086980039901845,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.261782953756634,1,1,0,0,22,29,0
Joy,0.0,57,6746368.332314458,0,-1,-1.0,0,0,4,-0.2329050265749095,-0.0115668701014826,-0.1684549480816859,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,-1,0
CONVERT,0.0,23,10261980.620536214,0,-1,-1.0,0,0,4,-0.2329050265749095,-0.2387050783649215,0.223051011279554,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,3,0
Frank,0.0,1,9373333.333333334,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3856768601824408,0.1240893851993059,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,12,0
P,0.0,38,12245767.634765225,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.138497045307522,0.4439696947123469,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,27,27,0
lever,0.0,1,9373333.333333334,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3856768601824408,0.1240893851993059,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,12,0
JADE,0.0,5,7745929.005253856,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3589547180338009,-0.0571417746950814,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,31,14,0
Blue,0.0,3,85880514.92929292,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.3723157891081208,8.64408962217123,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,35,42,0
THINK C,0.0,11,5742402.231619129,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3188715048108411,-0.2802587191447637,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,30,-1,0
Inform,0.05,32,8375049.3760997085,0,-1,-1.0,0,0,7,-0.2099010872755477,-0.1785802585304818,0.0129183895519517,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.261782953756634,1,1,0,0,22,29,0
NATURAL,0.05,68,9016125.28043656,0,-1,-1.0,0,0,4,-0.2099010872755477,0.0619190208072769,0.0843099470884983,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,-1,0
Reason,0.0,11,20211266.15093236,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3188715048108411,1.3310243192539932,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,34,-1,0
ARM,0.0,6,4633452.373737373,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.352274182496641,-0.4037537016398646,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,30,17,0
