programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024
FoxPRO,0.67,6,4637549.741552597,"['East Java', 'Jakarta']",1600,-1,-1.0,1,0
Delphi,1.68,5,5088090.1441868255,"['East Java', 'Jakarta']",770,-1,169.0,0,28
SCM,0.0,2,9190476.19047619,['Jakarta'],0,-1,-1.0,0,0
Red,0.0,14,9600474.90325898,"['Riau Islands', 'Yogyakarta', 'West Java', 'Jakarta']",0,0,-1.0,0,0
MetaL,0.0,3,6789724.960127592,['Jakarta'],0,0,-1.0,0,0
SaltStack,0.0,1,14000000.0,['Jakarta'],31,0,-1.0,0,0
bamboo,0.0,13,4155178.345026291,['Jakarta'],0,-1,-1.0,0,0
Mercury,0.0,3,12842905.131782943,['Jakarta'],0,0,-1.0,0,0
UNITY,0.0,12,6091128.553806561,"['Bali', 'East Java', 'Banten', 'Jakarta']",10000,-1,-1.0,29,0
Arduino,0.0,2,3889331.25,['Jakarta'],23000,-1,2663.0,86,0
SAS,0.76,15,3107142.7691049664,"['Yogyakarta', 'Central Java', 'Banten', 'Jakarta']",3800,1,122.0,0,0
SPSS,0.0,22,2049910.28708134,"['Riau Islands', 'Central Java', 'Banten', 'Jakarta']",83000,-1,1517.0,0,0
SIGNAL,0.0,4,2974287.2807017546,['Central Java'],0,-1,-1.0,0,0
Spatial,0.0,15,3137366.9030568367,['Jakarta'],450,-1,-1.0,0,0
AL,0.0,5,5022470.8556217095,"['Central Java', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
jasper,0.0,3,11754785.899224805,"['Banten', 'Jakarta']",0,-1,-1.0,0,0
PowerBuilder,0.0,1,11000000.0,['Jakarta'],527,0,-1.0,0,0
SRL,0.0,2,11632178.848837208,['Central Java'],0,-1,-1.0,2,0
Logos,0.21,2,6813000.0,['Jakarta'],0,-1,-1.0,0,0
Virgil,0.0,1,11000000.0,['Jakarta'],0,-1,-1.0,0,0
Dale,0.0,1,11000000.0,['Jakarta'],0,-1,-1.0,0,0
LUCID,0.0,1,11000000.0,['Banten'],0,-1,-1.0,0,0
CUDA,0.0,2,15000000.0,['Jakarta'],284,0,-1.0,0,0
LINQ,0.0,1,12264357.697674418,[],1000,-1,-1.0,0,0
JOVIAL,0.0,2,12264357.697674418,['Jakarta'],0,-1,-1.0,0,0
APL,0.05,3,6019884.435550963,['Jakarta'],0,0,-1.0,0,0
BASIC A+,0.0,6,3509775.333982419,"['Yogyakarta', 'Jakarta']",0,-1,-1.0,0,0
Cell,0.0,2,7407602.577650769,['Jakarta'],0,-1,-1.0,0,0
MIMIC,0.0,4,5400189.961071825,"['East Java', 'West Java']",0,-1,-1.0,0,0
Charity,0.0,2,6520336.743574051,"['West Nusa Tenggara', 'Central Java']",0,-1,-1.0,0,0
Meson,0.0,1,12264357.697674418,['Jakarta'],0,0,-1.0,0,0
DYNAMO,0.0,1,12264357.697674418,['Jakarta'],0,-1,-1.0,0,38
Haskell,0.56,3,9026520.950991984,"['Central Java', 'Jakarta']",20,40,74.0,6,11
PLANNER,0.0,2,12264357.697674418,['Jakarta'],0,-1,-1.0,0,0
