languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells),Cassandra;Cloud Firestore;Dynamodb;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite;Supabase,,Django;Express;FastAPI;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;Vue.js,
C++;PHP;SQL,C++;PHP;SQL,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Express;Flask;jQuery;Laravel;Node.js,Express;Flask;jQuery;Laravel;Node.js
HTML/CSS;JavaScript;Python;TypeScript,Python;Rust;TypeScript,BigQuery;PostgreSQL,PostgreSQL,Deno;Flask;Solid.js,Deno;Flask;Solid.js
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,MariaDB;MySQL;PostgreSQL,Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;SQLite,Flask;jQuery,Django;Flask;jQuery
C;Dart;Java;JavaScript;SQL,C#;C++;Dart;Elixir;Rust,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Redis,Laravel,
C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;VBA;Visual Basic (.Net),Dart;HTML/CSS;Kotlin;Python;SQL;Swift,Cloud Firestore;Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;SQLite,Cloud Firestore;Firebase Realtime Database;PostgreSQL;SQLite,ASP.NET;CodeIgniter;Flask;jQuery;Laravel;WordPress,Flask;jQuery;Laravel;React
Dart,Bash/Shell (all shells);Dart;Go;Kotlin;Rust,Firebase Realtime Database,Firebase Realtime Database;MongoDB;MySQL,,
HTML/CSS;JavaScript;PHP;Python,Ruby;SAS;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,MongoDB;Oracle;SQLite,CodeIgniter;Flask;jQuery;Laravel,AngularJS;Django;Node.js;React
Assembly;C;C++;Python,Assembly;C;C++;Python,,,,
C#;Java;Swift;Visual Basic (.Net),C#;Swift,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,ASP.NET CORE;React;Spring Boot,ASP.NET CORE;Blazor;React;Spring Boot
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,SQLite,SQLite,Flask,Flask;jQuery;Laravel;Vue.js
Kotlin;Python,Kotlin,MySQL;SQLite,SQLite,Express;Node.js;React,Django
