programming language,job amount,average salary,location,manager,full stack,front end,back end,software developer/engineer,mobile developer,devops,game developer,QA engineer,data scientist,data analyst,machine learning engineer,AI engineer,programmer,other analyst,other developer,other engineer,others
DEMOS,7,8340721.645021646,"['West Java', 'Jakarta']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
Q,4,13753915.681818182,['Jakarta'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
PROMETHEUS,29,4657207.470512622,"['North Sumatra', 'Yogyakarta', 'Central Java', 'Jakarta']",2,5,0,5,0,0,3,0,0,0,0,0,0,0,4,0,6,4
Gist,3,4191111.111111112,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
PILOT,6,10826544.252877614,['Jakarta'],0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0
REDUCE,28,5395293.120739435,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Banten']",2,6,0,5,1,0,3,0,0,0,1,0,0,0,0,2,4,4
Monkey,1,9373333.333333334,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Z,1,9373333.333333334,['Bali'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abs,1,9373333.333333334,['Jakarta'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FaCT,5,29778526.01832276,"['Bali', 'Jakarta']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
MACRO,2,68067052.86363636,['Jakarta'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FLUX,4,11001366.058827206,"['Banten', 'Jakarta']",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ECMAScript,3,13176238.465116275,"['Yogyakarta', 'Jakarta']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Argus,3,10322222.222222224,['Jakarta'],0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
