programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,avg wiki views (monthly),github user count,average search count,stack overflow count
Vale,0.0,2,776315.7894736842,['Jakarta'],0,-1.0,-1,0.0,0
candor,0.0,1,776315.7894736842,['West Java'],0,-1.0,-1,0.0,0
Stata,0.05,1,776315.7894736842,['Riau Islands'],831,101.1801801801802,-1,19.95536,0
Arc,0.0,1,3015662.727272727,['Jakarta'],0,-1.0,0,0.0,0
DML,0.0,8,3062648.019556395,"['Yogyakarta', 'Jakarta']",0,-1.0,-1,61.0625,0
IPL,0.0,1,3015662.727272727,['Riau Islands'],0,-1.0,-1,0.0,0
XL,0.0,4,3732736.052989353,['Jakarta'],0,-1.0,-1,0.0,0
Star,0.0,3,2975334.568968969,['Jakarta'],0,-1.0,-1,0.0,0
fox,0.0,2,2840777.777777778,['Yogyakarta'],0,-1.0,-1,0.0,0
LEAP,0.0,7,2382912.6984126987,['Jakarta'],0,-1.0,-1,0.0,0
Dockerfile,0.0,1,5592859.090909091,['Jakarta'],88,-1.0,99,16.86905,0
Dc,0.0,1,5592859.090909091,['Jakarta'],0,-1.0,-1,0.0,0
VBScript,0.33,2,3327448.015974184,['Jakarta'],692,176.61261261261262,-1,21.36607,0
CORAL,0.0,1,3244448.151351352,['Jakarta'],0,-1.0,-1,0.0,0
UniVerse,0.0,1,1520833.3333333333,['Jakarta'],0,-1.0,-1,0.0,0
C2,0.0,38,1560416.6666666665,"['South Kalimantan', 'Riau', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",0,-1.0,-1,0.0,0
